Element,Data type,MinLength,MaxLength,Description,Example,Example in JSON,,,,Create file,Add description,Add specifications,Add example,Closing tag
Detail,Array of elements,N/A,N/A,Contains all the sub-elements that define the transaction detail of a message.,,"""Detail"": {
      ""TranType"": ""Account"",
      ""TranAction"": ""Activate"",
      ""CurrencyCode"": ""000"",
      ""Amount"": 0,
      ""Stan"": 0,
      ""FraudLookup"": 0,
      ""BankLookup"": 0,
      ""Ip"": ""string"",
      ""TimeZone"": ""AKST"",
      ""TerminalId"": 0,
      ""AllowDuplicate"": 0,
      ""DuplicateInterval"": 0
    }",,,,"New-Item -Path . -Name ""Detail.md"" -ItemType ""file"" -Value ""# Detail"";Add-Content -Path "".\Detail.md"" -Value ""`n""","Add-Content -Path "".\Detail.md"" @""
Contains all the sub-elements that define the transaction detail of a message.
""@","Add-Content -Path "".\Detail.md"" -Value ""`n"";Add-Content -Path "".\Detail.md"" -Value ""## Specifications"";Add-Content -Path "".\Detail.md"" -Value ""`n"";Add-Content -Path "".\Detail.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Detail.md"" -Value ""`n"";Add-Content -Path "".\Detail.md"" -Value ""## Example"";Add-Content -Path "".\Detail.md"" -Value ""`n"";Add-Content -Path "".\Detail.md"" -Value ""`````` json""","Add-Content -Path "".\Detail.md"" @""
""Detail"": {
      ""TranType"": ""Account"",
      ""TranAction"": ""Activate"",
      ""CurrencyCode"": ""000"",
      ""Amount"": 0,
      ""Stan"": 0,
      ""FraudLookup"": 0,
      ""BankLookup"": 0,
      ""Ip"": ""string"",
      ""TimeZone"": ""AKST"",
      ""TerminalId"": 0,
      ""AllowDuplicate"": 0,
      ""DuplicateInterval"": 0
    }
""@","Add-Content -Path "".\Detail.md"" -Value ""``````"""
DSRPCryptogram,String,,,The dynamic data (cryptogram) of a Mastercard Digital Secure Remote Payments (DSRP).,,,,,,"New-Item -Path . -Name ""DSRPCryptogram.md"" -ItemType ""file"" -Value ""# DSRPCryptogram"";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""`n""","Add-Content -Path "".\DSRPCryptogram.md"" @""
The dynamic data (cryptogram) of a Mastercard Digital Secure Remote Payments (DSRP).
""@","Add-Content -Path "".\DSRPCryptogram.md"" -Value ""`n"";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""## Specifications"";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""`n"";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""* Data type: String"";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""* Minimal length: "";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""* Maximal length: "";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""`n"";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""## Example"";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""`n"";Add-Content -Path "".\DSRPCryptogram.md"" -Value ""`````` json""","Add-Content -Path "".\DSRPCryptogram.md"" @""

""@","Add-Content -Path "".\DSRPCryptogram.md"" -Value ""``````"""
DSTransactionId,String,,,The universally unique transaction identifier that the Directory Server (DS) assigns to identify a single transaction.,,,,,,"New-Item -Path . -Name ""DSTransactionId.md"" -ItemType ""file"" -Value ""# DSTransactionId"";Add-Content -Path "".\DSTransactionId.md"" -Value ""`n""","Add-Content -Path "".\DSTransactionId.md"" @""
The universally unique transaction identifier that the Directory Server (DS) assigns to identify a single transaction.
""@","Add-Content -Path "".\DSTransactionId.md"" -Value ""`n"";Add-Content -Path "".\DSTransactionId.md"" -Value ""## Specifications"";Add-Content -Path "".\DSTransactionId.md"" -Value ""`n"";Add-Content -Path "".\DSTransactionId.md"" -Value ""* Data type: String"";Add-Content -Path "".\DSTransactionId.md"" -Value ""* Minimal length: "";Add-Content -Path "".\DSTransactionId.md"" -Value ""* Maximal length: "";Add-Content -Path "".\DSTransactionId.md"" -Value ""`n"";Add-Content -Path "".\DSTransactionId.md"" -Value ""## Example"";Add-Content -Path "".\DSTransactionId.md"" -Value ""`n"";Add-Content -Path "".\DSTransactionId.md"" -Value ""`````` json""","Add-Content -Path "".\DSTransactionId.md"" @""

""@","Add-Content -Path "".\DSTransactionId.md"" -Value ""``````"""
DSTransactionId3DS,String,,,The universally unique transaction identifier that the 3DS Server assigns to identify a single transaction.,,,,,,"New-Item -Path . -Name ""DSTransactionId3DS.md"" -ItemType ""file"" -Value ""# DSTransactionId3DS"";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""`n""","Add-Content -Path "".\DSTransactionId3DS.md"" @""
The universally unique transaction identifier that the 3DS Server assigns to identify a single transaction.
""@","Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""`n"";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""## Specifications"";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""`n"";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""* Data type: String"";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""* Minimal length: "";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""* Maximal length: "";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""`n"";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""## Example"";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""`n"";Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""`````` json""","Add-Content -Path "".\DSTransactionId3DS.md"" @""

""@","Add-Content -Path "".\DSTransactionId3DS.md"" -Value ""``````"""
DuplicateInterval,Integer,,,The time interval in SECONDS???? during which the system rejects transactions with the same amount and credit card number. You can use this element when AllowDuplicate is set to true.,,,,,,"New-Item -Path . -Name ""DuplicateInterval.md"" -ItemType ""file"" -Value ""# DuplicateInterval"";Add-Content -Path "".\DuplicateInterval.md"" -Value ""`n""","Add-Content -Path "".\DuplicateInterval.md"" @""
The time interval in SECONDS???? during which the system rejects transactions with the same amount and credit card number. You can use this element when AllowDuplicate is set to true.
""@","Add-Content -Path "".\DuplicateInterval.md"" -Value ""`n"";Add-Content -Path "".\DuplicateInterval.md"" -Value ""## Specifications"";Add-Content -Path "".\DuplicateInterval.md"" -Value ""`n"";Add-Content -Path "".\DuplicateInterval.md"" -Value ""* Data type: Integer"";Add-Content -Path "".\DuplicateInterval.md"" -Value ""* Minimal length: "";Add-Content -Path "".\DuplicateInterval.md"" -Value ""* Maximal length: "";Add-Content -Path "".\DuplicateInterval.md"" -Value ""`n"";Add-Content -Path "".\DuplicateInterval.md"" -Value ""## Example"";Add-Content -Path "".\DuplicateInterval.md"" -Value ""`n"";Add-Content -Path "".\DuplicateInterval.md"" -Value ""`````` json""","Add-Content -Path "".\DuplicateInterval.md"" @""

""@","Add-Content -Path "".\DuplicateInterval.md"" -Value ""``````"""
Echo,Array of elements,N/A,N/A,"Contains all the undefined elements. The Transaction Services system returns these undefined elements unaltered in the response. Also, the Transaction Services system doesn't store this data.",,"""Echo"": {
      ""Any"": [
        null
      ]
    }",,,,"New-Item -Path . -Name ""Echo.md"" -ItemType ""file"" -Value ""# Echo"";Add-Content -Path "".\Echo.md"" -Value ""`n""","Add-Content -Path "".\Echo.md"" @""
Contains all the undefined elements. The Transaction Services system returns these undefined elements unaltered in the response. Also, the Transaction Services system doesn't store this data.
""@","Add-Content -Path "".\Echo.md"" -Value ""`n"";Add-Content -Path "".\Echo.md"" -Value ""## Specifications"";Add-Content -Path "".\Echo.md"" -Value ""`n"";Add-Content -Path "".\Echo.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Echo.md"" -Value ""`n"";Add-Content -Path "".\Echo.md"" -Value ""## Example"";Add-Content -Path "".\Echo.md"" -Value ""`n"";Add-Content -Path "".\Echo.md"" -Value ""`````` json""","Add-Content -Path "".\Echo.md"" @""
""Echo"": {
      ""Any"": [
        null
      ]
    }
""@","Add-Content -Path "".\Echo.md"" -Value ""``````"""
Eci,Alphanumeric,1,1,"The electronic commerce indicator (ECI) that identifies how the Transaction Services system obtained the account information for a transaction of the CardNotPresent type.

The value of 0 indicates that the transaction type is different from CardNotPresent.
The value of 2 indicates that the transaction is a recurring payment.
The value of 3 indicates that the transaction is an installment payment.
The value of 5 indicates that the transaction is an authenticated security transaction.
The value of 6 indicates that the transaction is a non-authenticated security transaction.
The value of 7 indicates that the transaction is a one-time secured web-based transaction.
The value of M indicates that the transaction is a one-time mail order transaction.
The value of T indicates that the transaction is a one-time telephone order transaction.",<Eci>M</Eci>,"{
  ""Eci"": ""M""
}",,,,"New-Item -Path . -Name ""Eci.md"" -ItemType ""file"" -Value ""# Eci"";Add-Content -Path "".\Eci.md"" -Value ""`n""","Add-Content -Path "".\Eci.md"" @""
The electronic commerce indicator (ECI) that identifies how the Transaction Services system obtained the account information for a transaction of the CardNotPresent type.

The value of 0 indicates that the transaction type is different from CardNotPresent.
The value of 2 indicates that the transaction is a recurring payment.
The value of 3 indicates that the transaction is an installment payment.
The value of 5 indicates that the transaction is an authenticated security transaction.
The value of 6 indicates that the transaction is a non-authenticated security transaction.
The value of 7 indicates that the transaction is a one-time secured web-based transaction.
The value of M indicates that the transaction is a one-time mail order transaction.
The value of T indicates that the transaction is a one-time telephone order transaction.
""@","Add-Content -Path "".\Eci.md"" -Value ""`n"";Add-Content -Path "".\Eci.md"" -Value ""## Specifications"";Add-Content -Path "".\Eci.md"" -Value ""`n"";Add-Content -Path "".\Eci.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Eci.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Eci.md"" -Value ""* Maximal length: 1"";Add-Content -Path "".\Eci.md"" -Value ""`n"";Add-Content -Path "".\Eci.md"" -Value ""## Example"";Add-Content -Path "".\Eci.md"" -Value ""`n"";Add-Content -Path "".\Eci.md"" -Value ""`````` json""","Add-Content -Path "".\Eci.md"" @""
{
  ""Eci"": ""M""
}
""@","Add-Content -Path "".\Eci.md"" -Value ""``````"""
Email,Alphanumeric,1,50,The email address of the user or consumer.,<Email>user@trxservices.com</Email>,"{
  ""Email"": ""user@trxservices.com""
}",,,,"New-Item -Path . -Name ""Email.md"" -ItemType ""file"" -Value ""# Email"";Add-Content -Path "".\Email.md"" -Value ""`n""","Add-Content -Path "".\Email.md"" @""
The email address of the user or consumer.
""@","Add-Content -Path "".\Email.md"" -Value ""`n"";Add-Content -Path "".\Email.md"" -Value ""## Specifications"";Add-Content -Path "".\Email.md"" -Value ""`n"";Add-Content -Path "".\Email.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\Email.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\Email.md"" -Value ""* Maximal length: 50"";Add-Content -Path "".\Email.md"" -Value ""`n"";Add-Content -Path "".\Email.md"" -Value ""## Example"";Add-Content -Path "".\Email.md"" -Value ""`n"";Add-Content -Path "".\Email.md"" -Value ""`````` json""","Add-Content -Path "".\Email.md"" @""
{
  ""Email"": ""user@trxservices.com""
}
""@","Add-Content -Path "".\Email.md"" -Value ""``````"""
EmvType,Integer,,,"The type of EMV (Europay, Mastercard, and Visa) card. Possible values are in the range of 1 to 7.",,,,,,"New-Item -Path . -Name ""EmvType.md"" -ItemType ""file"" -Value ""# EmvType"";Add-Content -Path "".\EmvType.md"" -Value ""`n""","Add-Content -Path "".\EmvType.md"" @""
The type of EMV (Europay, Mastercard, and Visa) card. Possible values are in the range of 1 to 7.
""@","Add-Content -Path "".\EmvType.md"" -Value ""`n"";Add-Content -Path "".\EmvType.md"" -Value ""## Specifications"";Add-Content -Path "".\EmvType.md"" -Value ""`n"";Add-Content -Path "".\EmvType.md"" -Value ""* Data type: Integer"";Add-Content -Path "".\EmvType.md"" -Value ""* Minimal length: "";Add-Content -Path "".\EmvType.md"" -Value ""* Maximal length: "";Add-Content -Path "".\EmvType.md"" -Value ""`n"";Add-Content -Path "".\EmvType.md"" -Value ""## Example"";Add-Content -Path "".\EmvType.md"" -Value ""`n"";Add-Content -Path "".\EmvType.md"" -Value ""`````` json""","Add-Content -Path "".\EmvType.md"" @""

""@","Add-Content -Path "".\EmvType.md"" -Value ""``````"""
Encrypted,Array of elements,N/A,N/A,Contains all the sub-elements that define a card.,,"""Encrypted"": {
        ""TrackData"": ""string"",
        ""Track1Data"": ""string"",
        ""Track2Data"": ""string"",
        ""Pan"": ""string"",
        ""Expiration"": ""string"",
        ""SwipeDevice"": ""string"",
        ""KeySerialNum"": ""string"",
        ""DeviceSerialNum"": ""string"",
        ""SmartCard"": ""string"",
        ""Variant"": ""Data""
      }",,,,"New-Item -Path . -Name ""Encrypted.md"" -ItemType ""file"" -Value ""# Encrypted"";Add-Content -Path "".\Encrypted.md"" -Value ""`n""","Add-Content -Path "".\Encrypted.md"" @""
Contains all the sub-elements that define a card.
""@","Add-Content -Path "".\Encrypted.md"" -Value ""`n"";Add-Content -Path "".\Encrypted.md"" -Value ""## Specifications"";Add-Content -Path "".\Encrypted.md"" -Value ""`n"";Add-Content -Path "".\Encrypted.md"" -Value ""* Data type: Array of elements"";Add-Content -Path "".\Encrypted.md"" -Value ""`n"";Add-Content -Path "".\Encrypted.md"" -Value ""## Example"";Add-Content -Path "".\Encrypted.md"" -Value ""`n"";Add-Content -Path "".\Encrypted.md"" -Value ""`````` json""","Add-Content -Path "".\Encrypted.md"" @""
""Encrypted"": {
        ""TrackData"": ""string"",
        ""Track1Data"": ""string"",
        ""Track2Data"": ""string"",
        ""Pan"": ""string"",
        ""Expiration"": ""string"",
        ""SwipeDevice"": ""string"",
        ""KeySerialNum"": ""string"",
        ""DeviceSerialNum"": ""string"",
        ""SmartCard"": ""string"",
        ""Variant"": ""Data""
      }
""@","Add-Content -Path "".\Encrypted.md"" -Value ""``````"""
Expiration,Numeric,4,4,The expiration date of the credit card in the MMYY format.,<Expiration>1127</Expiration>,"{
  ""Expiration"": ""1127""
}",,,,"New-Item -Path . -Name ""Expiration.md"" -ItemType ""file"" -Value ""# Expiration"";Add-Content -Path "".\Expiration.md"" -Value ""`n""","Add-Content -Path "".\Expiration.md"" @""
The expiration date of the credit card in the MMYY format.
""@","Add-Content -Path "".\Expiration.md"" -Value ""`n"";Add-Content -Path "".\Expiration.md"" -Value ""## Specifications"";Add-Content -Path "".\Expiration.md"" -Value ""`n"";Add-Content -Path "".\Expiration.md"" -Value ""* Data type: Numeric"";Add-Content -Path "".\Expiration.md"" -Value ""* Minimal length: 4"";Add-Content -Path "".\Expiration.md"" -Value ""* Maximal length: 4"";Add-Content -Path "".\Expiration.md"" -Value ""`n"";Add-Content -Path "".\Expiration.md"" -Value ""## Example"";Add-Content -Path "".\Expiration.md"" -Value ""`n"";Add-Content -Path "".\Expiration.md"" -Value ""`````` json""","Add-Content -Path "".\Expiration.md"" @""
{
  ""Expiration"": ""1127""
}
""@","Add-Content -Path "".\Expiration.md"" -Value ""``````"""
FedTaxId,Alphanumeric,1,15,The federal tax identification number for the client or business.,<FedTaxId>23123456789</FedTaxId>,"{
  ""FedTaxId"": ""23123456789""
}",,,,"New-Item -Path . -Name ""FedTaxId.md"" -ItemType ""file"" -Value ""# FedTaxId"";Add-Content -Path "".\FedTaxId.md"" -Value ""`n""","Add-Content -Path "".\FedTaxId.md"" @""
The federal tax identification number for the client or business.
""@","Add-Content -Path "".\FedTaxId.md"" -Value ""`n"";Add-Content -Path "".\FedTaxId.md"" -Value ""## Specifications"";Add-Content -Path "".\FedTaxId.md"" -Value ""`n"";Add-Content -Path "".\FedTaxId.md"" -Value ""* Data type: Alphanumeric"";Add-Content -Path "".\FedTaxId.md"" -Value ""* Minimal length: 1"";Add-Content -Path "".\FedTaxId.md"" -Value ""* Maximal length: 15"";Add-Content -Path "".\FedTaxId.md"" -Value ""`n"";Add-Content -Path "".\FedTaxId.md"" -Value ""## Example"";Add-Content -Path "".\FedTaxId.md"" -Value ""`n"";Add-Content -Path "".\FedTaxId.md"" -Value ""`````` json""","Add-Content -Path "".\FedTaxId.md"" @""
{
  ""FedTaxId"": ""23123456789""
}
""@","Add-Content -Path "".\FedTaxId.md"" -Value ""``````"""
FileHash,String,,,The hash value of the file with the customer's signature.,,,,,,"New-Item -Path . -Name ""FileHash.md"" -ItemType ""file"" -Value ""# FileHash"";Add-Content -Path "".\FileHash.md"" -Value ""`n""","Add-Content -Path "".\FileHash.md"" @""
The hash value of the file with the customer's signature.
""@","Add-Content -Path "".\FileHash.md"" -Value ""`n"";Add-Content -Path "".\FileHash.md"" -Value ""## Specifications"";Add-Content -Path "".\FileHash.md"" -Value ""`n"";Add-Content -Path "".\FileHash.md"" -Value ""* Data type: String"";Add-Content -Path "".\FileHash.md"" -Value ""* Minimal length: "";Add-Content -Path "".\FileHash.md"" -Value ""* Maximal length: "";Add-Content -Path "".\FileHash.md"" -Value ""`n"";Add-Content -Path "".\FileHash.md"" -Value ""## Example"";Add-Content -Path "".\FileHash.md"" -Value ""`n"";Add-Content -Path "".\FileHash.md"" -Value ""`````` json""","Add-Content -Path "".\FileHash.md"" @""

""@","Add-Content -Path "".\FileHash.md"" -Value ""``````"""
FileName,String,,,The name of the file with the customer's signature.,,,,,,"New-Item -Path . -Name ""FileName.md"" -ItemType ""file"" -Value ""# FileName"";Add-Content -Path "".\FileName.md"" -Value ""`n""","Add-Content -Path "".\FileName.md"" @""
The name of the file with the customer's signature.
""@","Add-Content -Path "".\FileName.md"" -Value ""`n"";Add-Content -Path "".\FileName.md"" -Value ""## Specifications"";Add-Content -Path "".\FileName.md"" -Value ""`n"";Add-Content -Path "".\FileName.md"" -Value ""* Data type: String"";Add-Content -Path "".\FileName.md"" -Value ""* Minimal length: "";Add-Content -Path "".\FileName.md"" -Value ""* Maximal length: "";Add-Content -Path "".\FileName.md"" -Value ""`n"";Add-Content -Path "".\FileName.md"" -Value ""## Example"";Add-Content -Path "".\FileName.md"" -Value ""`n"";Add-Content -Path "".\FileName.md"" -Value ""`````` json""","Add-Content -Path "".\FileName.md"" @""

""@","Add-Content -Path "".\FileName.md"" -Value ""``````"""
